name,domain,website,batch,one_liner,tags
matforge,matforge.ai,https://matforge.ai/,P26,AI scientists to discover semiconductor materials,"Artificial Intelligence, Advanced Materials, Semiconductors, AI"
Imperfect,imperfect.co,https://imperfect.co,P26,AI coach that connects your wearables to get you race day ready,"Fitness, Health & Wellness, AI, AI Assistant"
fuchsia,getfuchsia.ai,https://getfuchsia.ai/,P26,"AI that gets hardware compliance done in weeks, not months.","Hardware, Robotics, Compliance, AI"
Inth,inth.com,https://inth.com,P26,Privacy Infrastructure for Developers,"Compliance, Web Development"
Keyframe Labs,keyframelabs.com,https://keyframelabs.com,P26,Turn agents into lifelike video calls. $0.06 a minute.,"B2B, Video, API, AI"
Andustry,andustry.com,http://andustry.com/,P26,AI to source and sell industrial products,"Marketplace, Sales, Manufacturing, Procurement, Industrial"
Foaster,foaster.ai,https://foaster.ai,P26,Your AI-native partner for AI transformation. ,"Artificial Intelligence, B2B, Enterprise Software"
Regbase,regbase.com,https://regbase.com,P26,"Tracking global laws, grants and consultations","Legal, Sales Enablement, LegalTech, Regtech"
Aster,asterlab.ai,https://www.asterlab.ai/,P26,The First AI-Native AI Research Lab,"Artificial Intelligence, AI"
AICE Power,aicepower.com,https://aicepower.com,P26,Smart energy monitoring for buildings.,"Batteryless IoT Sensors, Hardware, Climate"
Cignara,cignara.com,https://cignara.com/,P26,AI voice & chat agents for sales and customer support at large B2C…,"AI, AI Assistant"
Refortifai,refortif.ai,https://refortif.ai,P26,Runtime security for AI agents,"B2B, Security, AI"
qomplement,qomplement.com,https://qomplement.com/,P26,AI Agents for Document Filling,"Documents, B2B, AI"
Arga Labs,argalabs.com,https://www.argalabs.com/,P26,The validation infrastructure for AI agents,"Developer Tools, SaaS, Infrastructure"
Modern,getmodern.ai,https://getmodern.ai,P26,"AI agents for IT, HR & Operations teams","AIOps, Artificial Intelligence, SaaS, B2B, Healthcare IT"
Benchspan,benchspan.com,https://www.benchspan.com,P26,Real-time threat detection for AI agents in production,"AIOps, Analytics, Security, Infrastructure, AI"
Arzana,arzana.ai,https://arzana.ai,P26,AI automation for the manufacturing office,"Manufacturing, Automation, Operations, AI, Industrial"
Dayjob,getdayjob.ai,https://www.getdayjob.ai,P26,AI Agents for Industrial Logistics,"Logistics, Transportation, AI"
Dispatch,dispatch.space,https://dispatch.space/,P26,Satellites for manufacturing in space,"Manufacturing, Aerospace, Advanced Materials"
StableBrowse,stablebrowse.com,https://stablebrowse.com/,P26,Browser for AI agents,"API, Automation, Web Development, AI"
Pentagon,pentagon.run,https://pentagon.run,P26,"Your AI agents, working as a team.","Artificial Intelligence, Enterprise Software"
InLoop Robotics,inloop-robotics.com,https://inloop-robotics.com/,P26,Deploying robots that ask for help!,"Artificial Intelligence, Hard Tech, Robotics, Logistics"
Lumius,lumius-imaging.com,https://www.lumius-imaging.com,P26,"Fast, smart, accessible 3D ultrasound for everyone","Hard Tech, Medical Devices, Digital Health"
Datost,datost.com,https://www.datost.com,P26,AI data analyst in Slack. Democratize data.,"B2B, Analytics, AI Assistant"
Korso,korsoai.com,https://korsoai.com/,P26,The Intelligence Layer for Manufacturing.,"SaaS, Manufacturing, AI"
Nine Fives,ninefives.com,https://ninefives.com/,P26,"Simple, Networked, Driverless, RF Test Equipment","Radar, Telecommunications, Electronics"
Alchemy,alchemyai.dev,https://www.alchemyai.dev/,P26,AI-powered image analysis for life sciences,"AI-powered Drug Discovery, Machine Learning, SaaS, Biotech, Automation"
Framewise Health,framewisehealth.com,https://framewisehealth.com,P26,AI-personalized patient recovery videos,"SaaS, Health Tech, B2B"
Totalis,totalis.trade,https://www.totalis.trade,P26,derivative layer for prediction markets,"DeFi, APIs"
Taiga,usetaiga.com,https://usetaiga.com,P26,Full-stack Medical Billing Services,AI
Runtime,runtm.com,https://www.runtm.com/,P26,Let all your team ship safely with coding agents,"Artificial Intelligence, Developer Tools"
smol machines,smolmachines.com,https://smolmachines.com/,P26,"Ship software faster with portable, self contained virtual machines.","Cloud Computing, Infrastructure"
Kuli,kuli.one,https://kuli.one,P26,Claude Cowork for social media and creator marketers,"Artificial Intelligence, SaaS, B2B, Social Media"
Maquoketa Research,maquoketa.net,https://www.maquoketa.net,P26,Intelligent one-way attack drones,"Artificial Intelligence, Hardware, Drones, Computer Vision, Manufacturing"
Userlens,userlens.io,https://userlens.io,P26,AI agents that predicts churn months before it happens. ,"SaaS, Customer Success, Enterprise Software, AI Assistant"
Kinro,kinro.ai,https://www.kinro.ai/,P26,AI sales agents for insurance. Sell everywhere your buyers are.,
Replicas,replicas.dev,https://replicas.dev,P26,Background coding agents for engineering teams,"Developer Tools, API, AI"
Salesgraph,salesgraph.com,https://www.salesgraph.com/,P26,the context layer for fast moving sales teams,"SaaS, B2B, Sales"
Lab0,lab0.ai,https://lab0.ai,P26,Automated forward-deployed engineers (AI FDEs),"Artificial Intelligence, B2B"
Standard Signal,standardsignal.com,https://standardsignal.com,P26,Hedge fund where AI researches and executes every trade,"Finance, AI"
Ara,ara.so,https://ara.so,P26,personal ai cloud computing for everyone,"Artificial Intelligence, Developer Tools, Consumer"
Harbor,runharbor.com,https://runharbor.com/,P26,AI system-of-record for clinical trial data,"SaaS, Health Tech, B2B, Healthcare"
Saffron,trysaffron.ai,https://www.trysaffron.ai/,P26,AI-Native Technical Assessments and Work Trials. ,"SaaS, Human Resources, HR Tech"
Complir,complir.io,https://complir.io/,P26,Vanta for physical products,"Retail, Regtech, Consumer Products"
Sherpa,ithsherpa.ai,https://www.withsherpa.ai/,P26,Turn more website visitors into customers,"Artificial Intelligence, SaaS, B2B, Marketing, AI"
Amboras,amboras.com,https://amboras.com,P26,Let AI sell your stuff on autopilot,"Generative AI, B2B, E-commerce"
BioStack Platforms,getbiostack.com,https://www.getbiostack.com/,P26,Real world training envs for healthcare AI models,
Interfaze,interfaze.ai,https://interfaze.ai,P26,AI model built for deterministic developer tasks,"Deep Learning, Developer Tools, Generative AI"
Sazabi,sazabi.com,https://www.sazabi.com/,P26,The AI-native observability platform for fast-moving engineering teams,Developer Tools
Playabl.ai,playabl.ai,https://playabl.ai,P26,Prompt-to-play AI game builder for everyone,"Artificial Intelligence, B2B, Gaming"
Adialante,adialante.com,http://www.adialante.com,P26,Cancer screening without barriers,"Hardware, Medical Devices, Health & Wellness"
Manicule,manicule.dev,https://manicule.dev,P26,AI Native Technical Documentation Studio,"Developer Tools, B2B, AI"
Clara,askclara.com,http://askclara.com,P26,AI primary care doctor,"Telehealth, Healthcare, Telemedicine, AI"
Indexable,ix.dev,https://ix.dev,P26,sandbox infrastructure for AI agents,Artificial Intelligence
Superset,superset.sh,https://www.superset.sh/,P26,IDE for the AI Agents Era,AI
Standout,standout.work,https://standout.work,P26,The Hollywood agent for startup talent,"Artificial Intelligence, Consumer, Recruiting, Careers"
9 Mothers,9mothers.com,https://9mothers.com,P26,AI weapon systems,"Hard Tech, Hardware, Drones, GovTech, Aerospace"
"Gikl, Inc",scienceswarm.ai,https://scienceswarm.ai,P26,Accelerating scientific discovery with AI,"Swarm AI, AI, AI Assistant"
